index,attraction,location,blurb,url,description,tags
31,Hakone Open-Air Museum,"Hakone, Japan","Open-air museum with an elaborate sculpture garden, stretching for over 70,000 square-meters.",https://www.atlasobscura.com/places/hakone-open-air-museum,"Located within Fuji-Hakone-Izu National Park is the Hakone Open-Air Museum. The museum grounds cover over 70,000 square-meters creating a unique mixture of nature and art. The indoor museum features works by Brancusi and Renoir, as well as a permanent 300-piece collection of Picasso. But it is the museum’s outdoor ground that makes the museum truly unique. The outdoor sculpture garden consists of over one hundred modern and contemporary works. Prominently featured are the sculptures of Henry Moore, who famously proclaimed that “sculpture is an art of the open air.” One of the most impressive works is is “Woods of Net” by Toshiko Horiuchi; a 528 square-meter Lincoln Log-like structure made out of 589 wooden pieces with no metal components. Inside “Woods of Net” is a large multicolored net of jungle gym ropes for kids to play or rest on. Nearly as impressive is “Symphonic Sculpture” by Gabriel Loire, a several story lookout tower of stained glass with a spiral staircase leading visitors to the top. Over one hundred other sculptures of all varieties are scattered around the remaining grounds. Visitors also enjoy a foot bath of hot spring water where you can take a break and dip your feet.",By car: Take Odawara Atsugi Road from the Atsugi Interchange on the Tomei Expressway. Then turn left at Miya-no-shita Crossing and take Route 1. Then turn right at Gora Onsen Iriguchi and drive about 500 meters to the museum. Or take Route 138 from the Gotemba Interchange on the Tomei Expressway. Turn right at Miya-no-shita Crossing and take Route 1. Turn right at Gora Onsen Iriguchi and drive about 500 meters to the museum.
32,Alice on Wednesday,"Tokyo, Japan",Go through the looking glass in Tokyo's Wonderland-themed shop.,https://www.atlasobscura.com/places/alice-on-wednesday,"Inspired by Lewis Carroll’s classic book Alice’s Adventures in Wonderland, Alice on Wednesday is not your ordinary shopping experience. Much like the fantasy land created in the book, the three-story themed store in the heart of Tokyo’s Harajuku district is itself a place of exploration and wonder. The exploration begins from the moment you step up to the building. There are multiple doors on the outside of the store, but only one leads you inside. Make the right choice and find yourself inside the first of the shop’s themed floors, the White room. The White room offers food and drinks, from tea to the mysterious “Drink Me” bottles from the story. The second floor, the Queen of Hearts room, is dedicated to accessories, and is the spot where you can pick up your very own version of the white rabbit’s pocket watch. The third floor, the Mad Hatter room, sells Alice-themed clothing and merchandise. The shop is decorated with art reminiscent of both the books and Disney’s adaptations, strongly influenced by the 2010 live action film by Tim Burton. There are key-holes to peep through to find hidden tableaux, a picture of the Cheshire Cat whose eyes follow your movement, and the Queen of Hearts’ throne that screams “Off with her head!” from time to time. Many of the shop’s accessories also feature Sir John Tenniel’s original book illustrations. The store’s name is obviously a nod to Carroll’s iconic character, but what about the second part? Well, the owners have said they named it for what they consider the week’s most boring day. They are hoping their own Wonderland will bring a little magic to the mid-week.","At times the store can get very busy, so the employees hand out designated time slots to interested visitors. Try to go at less busy times, such as (ironically) mid-week in the daytime."
33,Itsukushima Shrine,"Hatsukaichi, Japan",Japanese national treasure originally built in 593 CE.,https://www.atlasobscura.com/places/itsukushima-shrine-miyajima-japan,"Itsukushima Shrine is a Shinto shrine located on the island popularly called Miyajima, in Hiroshima Prefecture, Japan. A UNESCO World Heritage site, it is dedicated to the three daughters of the Shinto deity of seas and storms, and is built on piers over the water of the Seto Sea because the island was originally thought to be too sacred for commoners to tread upon. The sixteen-meter high camphor wood o-torii that stands in the water in front of the shrine, rebuilt most recently in 1875, is one of the most famous sights in Japan. The original shrine was constructed in 593 CE and has been rebuilt many times over the years. The present structure dates to the mid-16th century but follows a design completed in 1168 and funded by warlord Taira no Kiyomori. A five-story pagoda next to the shrine, called Goju no to, was built in 1407 and serves as a Buddhist temple dedicated to Benzaiten, the goddess of eloquence, music, and wealth. Because Itsukushima is considered sacred ground, no hospitals or cemeteries are allowed on the island. The small Miyajima deer are believed to have lived on the island for over 6,000 years, and are unafraid of humans, pestering tourists for food.","From Hiroshima or Iwakuni, take the JR train to Miyajimaguchi. Walk one block to the pier and take the JR ferry to Miyajima."
34,Okunoshima,"Takehara, Japan",Japanese island famous for poison gas and fluffy bunnies.,https://www.atlasobscura.com/places/okunoshima,"Ōkunoshima, also known as Usagi Shima (Rabbit Island), is a small island with a dark history. Despite Japan signing the Geneva Protocol in 1925 to ban the use of Poison Gas, the island was home to a poison gas plant that made over six kilotons of mustard gas. The island was chosen for its secrecy and isolation and was even removed from some maps. After the war, the poison was disposed of and the laboratory animals were set loose. With no natural predators native to the island, they quickly spread and now there are hundreds of tame rabbits roaming around.  However, others assert that these are not the testing bunnies, but rabbits that were released just for the new park that developed on the island. In 1988, the two room gas plant was converted into the Poison Gas Museum and opened to educate the Japanese people about the role the island played during the Second World War. The island is also home to the Chusi Powerline Crossing, Japan’s largest electricity pylon. No cats or dogs are allowed on the island.","Take the Sanyō Shinkansen train to Mihara Station (the Nozomi does not stop there so a slower train will have to be taken). At Mihara, catch the Kure Line local train to Tadanoumi, from there walk to the terminal and catch a ferry, which takes approximately 12 minutes."
35,Otagi Nenbutsu-ji,"Kyoto, Japan",Twelve hundred stone carvings guard this off-the-beaten-path Buddhist temple.,https://www.atlasobscura.com/places/otagi-nenbutsuji,"This peaceful Buddhist temple is nestled atop a hill, surrounded by more than 1,000 striking stone sculptures. Remote and off-the-beaten tourist track, it feels like an oasis of calm, devoid of the masses of visitors that flock to Kyoto’s more central sites. But things haven’t always been so serene. A typhoon decimated the original eighth-century temple in the 1950s, destroying parts of the structure. It was then decided that the temple would be rebuilt in a different, safer location. Rather than abandon all hope for the ancient temple, one of its priests began rebuilding it piece by piece atop its new patch of land. He did more than just reconstruct the building. As he worked, also added Buddhist stone carvings to the property. He also taught the town people how to create the carvings, so their work is now mixed in with his own. Now, 1,200 stone statues depicting Buddha’s disciples fill the space. They spill down the hillside and line the paths like peaceful, moss-covered guardians. Gazing into the serene stone faces is an almost meditative experience.",It's open between 8:00 a.m. and 5:00 p.m. Admission costs 300 yen. There's a parking lot that can accommodate 10 cars.
36,Ryōan-ji,"Kyoto, Japan",The quintessential Japanese rock garden has existed for more than 500 years.,https://www.atlasobscura.com/places/ryoan-ji,"The tradition of the meditative rock garden is a staple of Japanese culture but very few of the peaceful temples have survived as long and as perfectly as the zen garden at Ryoan-ji. While Ryoan-ji (The Temple of the Dragon at Peace) is actually the name of the entire temple complex which surrounds the almost 3,000 square foot rock garden, or kare-sansui in Japanese, the name is now synonymous with the serene stone scene. Constructed around the year 1500 either by professional gardeners or monks, the meditative scene contains 15 small boulders resting in a bed of white gravel which is raked into perfect lines each day by the current monks in the temple. It is said that the garden is setup so that visitors can only see 14 of the boulders at one time, but upon enlightenment, they will be able to see fifteen. The garden is surrounded by a wall made of clay boiled in oil that has taken on a rich, woody color from its years at the temple. There are no plants in the garden save for the moss that grows on the stationary boulders. While the large boulders in the garden appear to have been placed at random, scholars both philosophical and scientific have attempted to divine the meeting of the space. While some say that the rocks are placed in such a way as to draw attention to the architectural flourishes of the building, or that their placement hides some underlying message, most guests agree that so long as you can find personal meaning in the quiet natural order of the garden, you have found the meaning of Ryoan-ji.",
37,Blue Pond,"Hokkaidō, Japan",This mesmerizingly colorful pond looks like a scene straight out of a fairytale.,https://www.atlasobscura.com/places/blue-pond,"A quick walk through the forest near Biei, Japan, leads to a mesmerizing scene straight out of a fairytale. There, a brilliant blue pond lies tucked away within the woods. Dead silver birch trees poke above the water’s edge, their reflections seemingly painted on a glassy canvas. The artificial pond was created in 1988 when the Biei River was dammed to prevent damage from mudflows from the eruption of nearby Mount Tokachi. What was supposed to be just an effect of an environmental engineering project created a breathtakingly beautiful human-made wonder. The pond’s cerulean hue is thought to be caused by aluminum hydroxide suspended in the water. Aluminium hydroxide reflects shorter-wavelength blue light, meaning that the water itself isn’t actually blue. But that doesn’t make it any less captivating. The enchanting color changes depending on the angle from which you view it, the time of day, and the season. When the air is still, it reflects the trees submerged within their watery grave like a blue-tinted mirror. Though the pond freezes over during the colder months, there’s now an annual tradition of illuminating the water each season, creating an ethereal glow beneath the blanket of snow and ice. If the pond looks at all familiar, there’s a good reason why. It gained international recognition after Apple included an image of it as a wallpaper in OS X Mountain Lion, which was released in 2012.","The pond is accessible by vehicle or by bus tour from Sapporo. From the parking lot, it is a five-to-10-minute walk through the forest to the pond. Access to the pond is always open and there is no charge to visit."
38,Kokoen Garden,"Himeji, Japan",Nine Gardens in one—with tea service.,https://www.atlasobscura.com/places/kokoen-garden,"The Kokoen garden, sometimes called Himeji Kokoen, is just a five minute walk from Himeji Castle in Hyogo Prefecture, Japan. If, for example, you arrive too late to tour the castle and everyone in your group is cranky, Kokoen Garden is a fine option. Built in 1992 to commemorate the 100th anniversary of the establishment of the Himeji municipality, the gardens are set at the location of several samurai houses – a fact established through seven archeological excavations. Set on just under nine acres, the gardens were designed in the style of the Edo Period, the period of Japanese History from 1603-1868, when shoguns ruled Japan (also known as the Tokugawa shogunate). Professor Makoto Nakamura of Kyoto University designed the gardens so that, which each turn down one of the many paths, the view changes and it appears one has entered another garden entirely. As such, the gardens are themed – the garden of the lord’s residence, complete with requisite bridges, waterfall and koi pond, a tea garden, where a formal tea ceremony can be enjoyed for an additional fee, a pine tree garden, a bamboo garden, a flower garden, etc. While the gardens are beautiful in any season, if you can arrange your schedule with a bit of spontaneity, go to Japan during cherry blossom season (any time from March to May, depending). It’s hard to predict, but an entire nation celebrating new life in the form of perfectly delicate flowers on previously barren trees is a once in a lifetime experience not to be missed.","To gain access to this garden, you may add an extra fee to the Himeji Castle ticket or buy a separate ticket only for it."
39,Zauo,"Tokyo, Japan",The freshest fish here are the ones you catch yourself.,https://www.atlasobscura.com/places/zauo,"“Zauo” is an amalgamation of the kanji for “Sit” and “Fish”, which is basically the entire concept of this themed restaurant chain in Japan. Unlike those in most seafood restaurants, the aquariums in Zauo are not just for show. When you enter Zauo, you’re given a fishing rod and some bait, and are told to catch your own dinner. You sit on a giant boat, surrounded by an equally impressive aquarium full of fish. The aquarium is full of a variety of pescaterian delights ranging from red snapper, to mackerel, to sharks. If it’s in the aquarium, it’s fair game for you to catch. Whether or not you can catch the more delectable fish depends more on luck than skill. When you eat depends on how well you fish, and how you want your fish prepared. You can get your fish grilled, fried, steamed, and boiled, but the freshest option is to have your fish raw, sashimi style.",
40,Sōgenji Temple (Kappa-Dera),"Tokyo, Japan","Shrine to Japanese water-goblins, complete with their preserved body parts.",https://www.atlasobscura.com/places/sougenji-kappa-dera-temple,"In Japanese folklore, the kappa is a bipedal, turtle-like aquatic goblins who sometimes grabs unsuspecting humans, often children, as they walk over bridges or through swamps, pulling them down into the muck to drown them. The fishy-smelling kappa’s most distinct feature is the bowl-like dent on the top of its head, which it must keep filled with water at all times to stay alive. There is also a curious myth about a fictitious, mysterious organ called shirikodama (“anus ball”), for which the creature reportedly kills its victims for. The Tokyo neighborhood of Kappabashi adopts the kappa as its mascot, even though the “kappa” in its name simply comes from a homophonous word meaning “raincoat,” deriving from Portuguese capa. In this case, it comes from the name of a local merchant, Kappaya (“raincoat-seller”) Kihachi, who funded the construction of a canal to prevent flood damages. During the canal’s construction, it is said that the kappa came from the nearby Sumida River and helped Kihachi. When he died in 1814 he was buried at Sōgen-ji, a 17th-century temple that eventually became known as the Kappa-dera (“kappa temple”). Today, the temple still stands there and its altar is kept piled high with offerings of cucumbers - said to be the kappa’s favorite food - and its treasure chamber contains antique scroll-drawings of the goblins and even the mummified arm of a kappa. Visitors should keep an eye out for the numerous statues of kappa that stand outside local shops in the area. Some of these are cute and cuddly, but others are decidedly creepy. If you ever encounter a real kappa, remember that some kappa are good-natured, like the others who helped Kihachi, and some are mischievous and harmless, though there are murderous ones, too. The kappa often challenges children to a sumo match, and even though it’s incredibly strong (and will eat your internal organs if you lose), there is a chance to win: bow to it as the match begins, and it will oblige the creature to bow in return, emptying its head-bowl and losing its strength.","The kappa temple is just west of the Asakusa district, and a five-minute taxi-ride, or 15-minute walk, from Ueno JR station on the Yamanote and Keihin-Tohoku lines. It is also a 10-minute walk from the Iriya (Hibiya line) and Inaricho (Ginza line) Tokyo Metro stations, and a 7-minute walk from the Asakusa station of the Tsukuba Express line."
41,Hachiko,"Tokyo, Japan","After a profound show of devotion for his master, a dog becomes the symbol of loyalty for an entire nation.",https://www.atlasobscura.com/places/hachiko-hachi-shibuya-station,"If there was one thing that Professor Ueno could count on, it was the sight of his loyal companion patiently waiting for him as he stepped off the train every evening after his commute. Every day for a year, the golden Akita, dubbed Hachikō, would accompany his owner to Shibuya Station, and every day he would be waiting for the professor to return for the walk home. One sad day, the train came, but Professor Ueno didn’t appear. Hachikō returned the next day, and the next, but there was no way to tell the poor dog what had become of his master. The Professor had died of a stroke and would never step off of the train to greet him again. For nine years, Hachikō waited for the train every day, only to leave alone. Commuters and station employees would feed him treats and keep him company, and an old student of the professor retraced the dog’s genealogy, declaring Hachikō as one of only 30 purebred Akitas remaining in the world. He became quite the celebrity over the years, inspiring books, films, art, and poetry, and was present at the unveiling of his own bronze statue, a version of which still remains at Shibuya Station as a popular meeting spot. When Hachikō died of a combination of cancer and worms in the streets of Shibuya in 1935, his remains were stuffed and mounted, and can now be visited at the National Science Museum of Japan in Ueno, Tokyo. Flanking taxidermized Hachikō are Jirō, one of two Sakhalin Huskies famous for surviving a year in Antarctica after being abandoned during a failed scientific expedition to the South Pole, and Kai Ken (a.k.a. “Tora Inu” or “Tiger Dog”), a rare breed of dog considered to be the most ancient and purest dog breed in Japan. Hachikō is placed low in the display case representing his true height. This placement invites the viewer to kneel just as you would to pet a live dog. It also places him eye to eye with the children who gleefully rush toward him shouting, “Hachikō! Hachikō!” when they spy him from around the corner. The Atlas Obscura Podcast is a short, daily celebration of all the world’s strange and wondrous places. Check out this episode about Hachikō.",There is now a virtual Hachiko at the Tokyo Plaza that allows you to take the famed dog for a virtual walk.
42,Tenryu-Ji Shrine's Bamboo Trail,"Kyoto, Japan",A beautiful bamboo trail tucked in this famous Japanese Shrine.,https://www.atlasobscura.com/places/tenryu-ji-shrine,"Heavenly Dragon Temple, or Tenryu-ji, is best known for its zen garden, a long and winding path lined with thousands of towering bamboo stalks. Tenryū-ji — more formally known as Tenryū Shiseizen-ji — is the head temple of the Tenryū branch of Rinzai Zen Buddhism. Founded by Ashikaga Takauji in 1339 and originally headed by Musō Soseki, the temple was built primarily to venerate Gautama Buddha. While the rest of the temple was rebuilt after burning down, the zen garden has survived, uninterrupted, since its planting. As a temple related to both the Ashikaga family and Emperor Go-Daigo, the temple is held in high esteem, and is ranked number one among Kyoto’s so-called Five Mountains, or Kyoto Gozan. In 1994, it was registered as a UNESCO World Heritage Site as part of the “Historic Monuments of Ancient Kyoto”. The bamboo trail can be accessed via the North Gate.","You can arrive at Tenryu-ji by city bus or by JR train from Kyoto station to Saga Arashiyama station (嵯峨嵐山駅). take the south exit and walk down the street for about 200 meters (220 yards), then make a right turn just before you get to the train tracks (different line). You will walk straight into Tenryu-ji after 350 meters (380 yards). Despite its supposed name, the bamboo trail is located outside the grounds of Tenryu-ji Temple. It’s also known as the Sagano Bamboo Forest."
43,Ryūsendō Cave,"Iwaizumi, Japan",A massive cave complex boasts some of the clearest water (and most charming bats) in the world.,https://www.atlasobscura.com/places/ryusendo-cave,"One of the three largest limestone caverns in Japan, Ryūsendō Cave features expansive subterranean galleries arching over deep sunless lakes filled with breathtakingly clear blue water. The complex has been designated as a natural monument by the Japanese government since 1934, thanks not only to its remarkable size and enchanting aquatic features, but also because of the unique varieties of bats that call the cave home. Surveys of Ryūsendō Cave began in 1920, and thus far, some 3600m (about 2 miles) have been explored and mapped, of which 700m (a half mile) can be visited by the public. Exploration is ongoing, however, and it is believed that the full extent of the cave is likely 5000m (3 miles) or more. Additionally, eight underground lakes have been found in Ryūsendō, fed by underground river of crystal-clear spring water constantly gushing forth from the bedrock. Three of these lakes are accessible to visitors and feature submerged lighting that illuminates that chambers with the brilliant blues and greens of the limestone-filtered waters—colors pleasingly saturated thanks to the clarity and depth of the waters. A fourth lake that is not included in the tour reaches an impressive depth of 120m (almost 400 feet), making it the deepest underground lake in Japan as well as one of the most transparent lakes in the world. Elevated walkways, bridges, and stairs conduct visitors through a 30-minute tour that ranges from the water’s surface to the cavern roof, where those intrepid enough can view the watery depths from amidst stalactites high above. While up there, one might even come face-to-face with some of the rare bats that populate the cave, including Brown long-eared bats, Eastern long-fingered bats, Hilgendorf’s tube-nosed bats, and Greater horseshoe bats.","Ryusendo Cave is open seven days a week, and admission is ¥1,000 for adults and ¥500 for students."
44,Ninja Akasaka,"Tokyo, Japan","A restaurant modeled after feudal Japan, where the waitstaff are trained as ninjas.",https://www.atlasobscura.com/places/ninja-akasaka,"Entering through a plain black facade, the restaurant inside is only marked by a small sign reading “NINJA” in English. A silent escort dressed head to toe in black will lead you through a series of winding corridors, a drawbridge, and secret doorways into the hidden dining room. This is Ninja Akasaka, where diners can step four centuries into the past as black-clad mercenaries serve up dinner and a show. The atmosphere is decked out in stone and wood, Edo period style, when Japan operated under a feudal system and ninjas were spy warriors available for hire. Though there is little historical evidence to flesh out our knowledge of ninjas, they have become a folklore fascination the world over, so needless to say Ninja Akasaka does well. Patrons order their food off of lengthy scrolls, after which the ninja waitstaff fade into the darkness. They’re not gone for long though—they will periodically reappear, seemingly out of thin air, to entertain the table with sword tricks and martial arts demonstrations. The food is modern Japanese cuisine, but each course is served with dramatic ninja flair. Black sesame crackers are shaped like throwing stars. Escargot “bombs” are lit on fire by a fuse of gunpowder. Snow crab is served atop a grapefruit pierced by a sword, which, when removed, releases smoky vapor from the dry ice inside.",
45,Monet's Pond,"Seki-shi, Japan",This pond is so stunning it looks like you've stepped into one of Monet's masterpieces.,https://www.atlasobscura.com/places/monets-pond,"Claude Monet’s softly colorful Water Lilies paintings are some of the most beautiful and famous of the Impressionist era. If you’ve ever wondered what it would be like to see those lovely tranquil scenes through Monet’s eyes, this small pond in Japan’s Gifu Prefecture is about as close as you can get. The coloration of the aptly nicknamed Monet’s Pond is so profound you’d think there must be some artificial lighting or dye at play. The neon-looking plants are insanely vibrant, the water is crystal clear and shimmering, and the water lilies and bright koi contrast spectacularly with the dark pond beneath them. But amazingly, there are no visual effects whatsoever. Monet’s Pond is naturally just that beautiful. Located in Seki city, the small body of water, just 60 feet long, remarkably resembles the pond in the French painter’s famous Water Lilies series, which actually depicts the Japanese garden at his home in Giverny, France. The pond can be found via a short path that circles the pond. If you’re looking for a bit more of a hike, you can climb a little farther to Nemichi Shrine, a Shinto place of worship.",
46,Sokushinbutsu of Dainichibou Temple,"Tsuruoka, Japan",The self-mummified monks of Japan.,https://www.atlasobscura.com/places/sokushinbutsu-dainichi-temple,"Scattered throughout northern Japan are over two dozen mummified Japanese monks known as sokushinbutsu. Followers of shugendō, an ancient form of Buddhism, the monks died in the ultimate act of self-denial. For three years, the priests would eat a special diet consisting only of nuts and seeds, while taking part in a regimen of rigorous physical activity that stripped them of their body fat. They then ate only bark and roots for another three years and began drinking a poisonous tea made from the sap of the urushi tree, normally used to lacquer bowls. This caused vomiting and a rapid loss of bodily fluids, and—most importantly—it killed off any maggots that might cause the body to decay after death. Finally, a self-mummifying monk would lock himself in a stone tomb barely larger than his body, wherein he would not move from the lotus position. His only connection to the outside world was an air tube and a bell. Each day, he rang a bell to let those outside know that he was still alive. When the bell stopped ringing, the tube was removed and the tomb sealed. Not all monks who attempted self-mummification were successful. When the tombs were finally opened, some bodies were found to have rotted. These monks were resealed in their tombs. They were respected for their endurance, but they were not worshiped. Those monks who had succeeded in mummifying themselves were raised to the status of Buddha, put on display, and tended to by their followers. The Japanese government outlawed sokushinbutsu in the late 19th century, though the practice apparently continued into the 20th. Although roughly 28 of these sokushinbutsu remain, only 16 of them can be visited. The most famous is Shinnyokai Shonin of the Dainichibou Temple on the holy Mount Yudono. The majority of the monks who underwent self-mummification did so near this temple. It has been shown that a local spring had high levels of arsenic, and this may have helped the monks in the mummification process. Others can be found in more banal locations such as in Nangakuji Temple, in the suburbs of Tsuruoka, and at Kaikokuji Temple in the small city of Sakata.",
47,8bit Cafe,"Tokyo, Japan",Transport yourself to the 1980s era of video games at this themed restaurant and bar.,https://www.atlasobscura.com/places/8bit-cafe,"For those who grew up playing video games during the 1980s and 1990s, walking into the 8bit Cafe might feel like traveling back to your childhood. Hidden on the fifth floor of an unassuming office building in the middle of a busy Shinjuku Sanchome street, this small bar is packed with various games and gaming accessories from Mario figurines to Power Gloves to Nintendo’s 3-D gaming system and even Virtual Boy. So-called in reference to consoles’ 8-bit processors, the 8-bit era of gaming began in 1983 with the release of Famicom (short for “Family Computer”) in Japan. In other parts of the world, this pivotal gaming system would be known by another name: the Nintendo Entertainment System. Shortly thereafter, games such as Super Mario Bros., Duck Hunt, and The Legend of Zelda became household names around the world. It’s no surprise that Japan, a powerhouse of the video game industry, especially during the early ’80s, would have establishments celebrating this history. In fact, the country as a whole and Tokyo in particular have a plethora of video game–themed establishments, but not many quite like the 8bit Cafe. Not only can you peruse various memorabilia, you can also pick any of the games from the shelves and play them while sipping on a drink themed after your favorite video game character.","Take the C5 exit from the Shinjuku Sanchome station, the bar is on the fifth floor of the building to your right. Open from 6pm to midnight on Mondays, Wednesdays, Thursdays, and Sundays. From 6 pm to 5 am on Fridays and from 6 pm to 1:30 am on Saturdays. Closed on Tuesdays. Don't expect a lavish food menu: The cafe serves mostly snacks and sweets (mixed nuts, cheeses, cake)."
